arxiv_id,score,title,authors,published,updated,categories,matches,abstract_url,pdf_url,abstract
2607.23020,11,PhotoIFU: NIRCam as a Photometric Integral Field Unit for Mapping Feedback in Galaxies,Yongda Zhu; Marcia J. Rieke; Courtney Carreira; Yang Sun; Zhiyuan Ji; Jianwei Lyu; Christina C. Williams; Stacey Alberts; Feng Yuan; Yuxuan Zou; Yurina Nakazato; Andrew J. Bunker; Sandro Tacchella; Fengwu Sun; George H. Rieke; Eiichi Egami; Jacopo Chevallard; Kevin Hainline; Zheng Ma; Pablo G. Pérez-González; Pierluigi Rinaldi; Bruno Rodríguez Del Pino; Tristen Shields; Meredith Stone; Christopher N. A. Willmer; Zihao Wu; Minghao Yue; Junyu Zhang,2026-07-25T03:31:59+00:00,2026-07-25T03:31:59+00:00,astro-ph.GA,NIRCam; JWST; JADES; galaxies; galaxy; star formation; stellar mass; stellar population; emission line; SED fitting; dust attenuation; metallicity,https://arxiv.org/abs/2607.23020,https://arxiv.org/pdf/2607.23020v1,"We present PhotoIFU, a workflow that uses deep multi-band imaging as a low-resolution photometric integral field unit. Applied to PSF-matched JWST/NIRCam imaging, PhotoIFU treats each spatial pixel as a coarse SED element and fits the pixel SEDs with Prospector to map resolved stellar-population and ISM-related properties. We apply this approach to three galaxies at $z=1.3$--3.7 in JADES: two systems with extended ionized line emission and one post-starburst galaxy with an exceptionally strong neutral outflow. Pixel-by-pixel SED fitting gives maps of stellar-mass surface density, specific star formation rate, dust attenuation, gas-phase metallicity, and recent star-formation history. We find that regions selected from the extended-emission or outflow geometry occupy distinct parts of the resolved SED-property distribution compared with the full host. In the systems with extended ionized emission, these regions are generally less dusty, consistent with ionized emission being observed along dust-poor, low-column-density pathways through the host. In the neutral-outflow system, the selected regions show enhanced recent star formation, suggesting that compact rejuvenation may mark the aftermath of an earlier energetic phase. These results show that galactic outflows and extended emission-line structures can be spatially associated with measurable differences in resolved host-galaxy stellar populations and ISM-related properties. PhotoIFU provides an imaging-based method for resolved SED mapping of feedback-related structures in larger galaxy samples where full spectroscopic integral-field mapping is unavailable."
2607.22834,11,Reionization driven by the few: the ionizing budget of galaxies at z=5-10 from JWST/NIRSpec,Emma Giovinazzo; Pascal A. Oesch; Anne Verhamme; Romain A. Meyer; Callum Witten; John Chisholm; Rui Marques-Chaves; Charlotte Simmonds,2026-07-24T18:17:00+00:00,2026-07-24T18:17:00+00:00,astro-ph.GA,JWST; NIRSpec; galaxies; galaxy; reionization,https://arxiv.org/abs/2607.22834,https://arxiv.org/pdf/2607.22834v1,"The sources responsible for the Epoch of Reionization (EoR), the last major phase transition of the Universe, remain highly elusive. While JWST has begun to illuminate the properties of early galaxies, the direct detection of their ionizing photons is virtually impossible due to the neutral intergalactic medium (IGM) at z>6. A direct estimate of the escape fraction of ionizing photons (fesc) is thus not possible. However, the escape fraction is encoded in spectral features that trace a low opacity to ionizing photons, namely the reduction of nebular emission with increasing fesc. Here, we exploit the large archive of JWST/NIRSpec spectra at 5<z<10 from the DAWN JWST Archive to provide new constraints on the ionizing emissivity of EoR galaxies and on the timeline of reionization. Through detailed spectral fitting of 1428 galaxies with a picket-fence model for the escape of ionizing photons, we derive posteriors of fesc together with the effective ionizing output. This approach yields the escaping ionizing output of each galaxy while bypassing the usual decomposition into the ionizing photon production efficiency and fesc. Combining these measurements with UV luminosity functions (LFs), we derive the hydrogen ionizing LFs, resulting in an observationally-derived ionizing photon budget at 5<z<15, integrated down to MUV=-13. Under standard assumptions, our budget yields an evolution of the IGM neutral fraction consistent with independent probes, with reionization ending at z~5.8. Given the evolving shape of the ionizing LF, bright sources (MUV ~ -20) dominate the cosmic ionizing emissivity nion at lower redshift (z=5-6), whereas at z>6 faint galaxies (MUV > -18) contribute roughly equally. Remarkably, a mere ~20% of sources, those with fesc>10%, produce ~87% of the ionizing photons. Overall, our results support a picture in which a few strongly leaking galaxies drive most of reionization."
2607.23062,10,HETDEX: Star Formation Stochasticity Diagram of Lyman Alpha Emitting Galaxies at Cosmic Noon Confirms Three Archetypes,Nicole Firestone; Eric Gawiser; Kartheik G. Iyer; Charlotte Olsen; Antara Basu-Zych; Adam Broussard; Peter Kurczynski; Kyoung-Soo Lee; Erin Mentuch Cooper; Robin Ciardullo; Daniel J. Farrow; Steven L. Finkelstein; Caryl Gronwall; Ho Seong Hwang; Byeongha Moon; Shun Saito; Donald P. Schneider,2026-07-25T06:11:07+00:00,2026-07-25T06:11:07+00:00,astro-ph.GA,COSMOS; galaxies; star formation; stellar mass,https://arxiv.org/abs/2607.23062,https://arxiv.org/pdf/2607.23062v1,"In this work, we aim to measure the star formation stochasticity of Lyman Alpha Emitting Galaxies (LAEs) at Cosmic Noon. We identify 270 LAEs from the HETDEX Survey in the COSMOS field with rest-UV-through-NIR photometry from CANDELS\null. For each LAE, we perform non-parametric gaussian-process star formation history (SFH) reconstruction using the Dense Basis method. Our HETDEX LAE sample is described well by the three SFH archetypes defined for ODIN LAEs in Firestone et al. 2025 with comparable frequency: First Burst, Dominant Burst, and Nondominant Burst. The rapidly rising Star Formation Rates (SFRs) of First Burst LAEs are not adequately represented in traditional SFR$_{100}-M_*$ diagrams, where SFR$_{100}$ is averaged over the most recent 100Myr. This motivates the usage of SFR$_{10}-M_*$, where SFR$_{10}$ is averaged over the most recent 10Myr. We introduce the Star Formation Stochasticity Diagram, a diagnostic tool that probes variations in galaxies' SFRs across cosmic time. By eliminating the confounding factor of redshift evolution, we are able to employ a gaussian mixture model to decompose our ratio of short- vs.long-term SFR into statistically motivated sub-populations. This agnostic component decomposition reveals three populations consistent with the empirical LAE SFH archetypes. We can, therefore, summarize the overall stellar mass assembly of LAEs with this ratio, even without viewing their full star formation histories."
2607.22835,7,Unsupervised selection and characterisation of Little Red Dots in JWST surveys with manifold learning,Michele Ginolfi; Filippo Mannucci; Alessandro Marconi; Francesco D'Eugenio; Giacomo Venturi; Francesco Belfiore; Giovanni Cresci; Caterina Bracci; Stefano Carniani; Alessandra Cozzi; Roberto Maiolino; Guido Risaliti,2026-07-24T18:23:00+00:00,2026-07-24T18:23:00+00:00,astro-ph.GA; astro-ph.IM,JWST; NIRSpec; high redshift; AGN; morphology,https://arxiv.org/abs/2607.22835,https://arxiv.org/pdf/2607.22835v1,"Little Red Dots (LRDs) are compact, red sources discovered at high redshift by JWST whose physical nature and selection function remain debated. We investigate whether an unsupervised machine-learning approach applied to multi-band photometry can identify LRD-like objects, and other populations, without relying on predefined colour cuts. Using UMAP, a manifold-learning (dimensionality-reduction) method, we place ~242,000 isolated, well-measured sources from the ASTRODEEP-JWST catalogue on a two-dimensional map, where objects with similar broadband colours, morphology, and photometric redshift lie close together. We then use spectroscopically confirmed LRDs to identify where LRD-like objects lie within this map, compare the resulting areas with published colour cuts, and validate our data-driven selection against archival NIRSpec spectra from the DJA. We find that the spectroscopically selected LRDs concentrate in two well-defined regions with no colour cut imposed, tracing populations that differ mainly in redshift, a difference imprinted in their broadband colours. The main region reaches a purity of ~0.78 at ~0.82 completeness on the spectroscopically classified subset, competitive with, or cleaner than, literature colour cuts, and yields ~100 additional candidates. We also test the method as a general tool for population discovery: the manifold recovers the locations of brown dwarfs and broad-line AGN with no explicit criterion, and isolates rare pathological outliers. Overall, unsupervised manifolds, anchored by sparse high-confidence spectroscopic labels, provide an efficient, assumption-light framework for characterising populations, comparing selection methods on a common basis, and discovering rare objects in large photometric datasets."
2607.23992,5,JWST/NIRCam Imaging of Young Stellar Objects. IV. Detailed Imaging of the Protoplanetary Disk around TW Hya,Yu-Chia Lin; Jarron Leisenring; Schuyler G. Wolff; Justin Hom; Kellen Lawson; Ewan S. Douglas; George Rieke; Gabriele Cugno; John Debes; Ruobing Dong; Doug Johnstone; Camryn Mullin; Taylor L. Tobin; Kevin R. Wagner; Thomas P. Greene; Michael R. Meyer; Marcia Rieke,2026-07-27T04:39:17+00:00,2026-07-27T04:39:17+00:00,astro-ph.EP; astro-ph.SR,JWST; NIRCam; morphology,https://arxiv.org/abs/2607.23992,https://arxiv.org/pdf/2607.23992v1,"As the nearest protoplanetary disk to Earth ($d = 60.14$ pc), TW Hya is one of the most studied protoplanetary disks and a critical benchmark for testing planet formation theories. We present high-contrast coronagraphic imaging of the TW Hya disk from JWST/NIRCam across four filters (F187N, F200W, F356W, and F444W). We detect the disk's scattered-light emission in F200W, F356W, and F444W. An elliptical fit to the disk image yields an average inclination of $i = 8.74^{+1.03}_{-0.94}$ degrees and a position angle of $\mathrm{PA} = 75.62^{+7.86}_{-6.56}$ degrees. We find tentative evidence for radial variations in these parameters, a trend consistent with a disk warp. Our companion search yields no new detections, placing the lowest mass limits yet on companions that might be responsible for carving out the dust gap. Assuming no local extinction and a system age of 10 Myr, the F444W data are sensitive to masses down to $\sim 0.4\,M_{\rm Jup}$ at separations of $1$ arcsec ($\sim 60$ AU). Accounting for local disk extinction analogous to the AS 209 system, our limits reach sub-Jupiter masses beyond $2$ arcsec. Furthermore, our analysis provides a detailed view of a previously detected feature in the outer disk at $\sim 120$ AU, confirming its morphology as a distinct bifurcation structure. This feature may indicate the presence of complex substructures arising from dynamical planet-disk interactions. These results demonstrate JWST's ability to characterize the architecture of protoplanetary disks and constrain the properties of forming worlds."
2607.22966,5,A quasar hatching from a buried red phase at z = 3.7,Zheng Ma; Yongda Zhu; Zhiyuan Ji; Eiichi Egami; Marcia J. Rieke; Xiaohui Fan; Jianwei Lyu; George H. Rieke; Fengwu Sun; Yang Sun; George D. Becker; Andrew J. Bunker; Francesco D'Eugenio; Xiangyu Jin; Ignas Juodžbalis; Weizhe Liu; Roberto Maiolino; Pierluigi Rinaldi; Feige Wang; Christopher N. A. Willmer; Yunjing Wu; Jinyi Yang; Junyu Zhang; Peixin Zhu,2026-07-25T00:13:12+00:00,2026-07-25T00:13:12+00:00,astro-ph.GA,JWST; NIRCam; NIRSpec; MIRI; JADES; galaxy; dust attenuation,https://arxiv.org/abs/2607.22966,https://arxiv.org/pdf/2607.22966v1,"We present JADES-GS 209777, previously cataloged as CANDELS J033238.02-274626.2, hereafter ""the Hatchling,"" a red quasar at $z=3.711$. While the source has been reported in earlier deep-field catalogs, our multiwavelength analysis reveals a visible active nucleus still embedded in a dense gas- and dust-rich environment. Red quasar continua are often attributed to dust attenuation, including non-standard extinction curves, but the highly comprehensive multiwavelength data for this source provide direct constraints on the material being cleared. Using JWST/NIRSpec, NIRCam, MIRI, HST, MUSE, Chandra, ALMA, and VLA data, we detect broad emission lines and strong X-ray emission, showing that the active nucleus is at least partially exposed. We also detect H$α$ and He I absorption, indicating dense gas close to the nucleus. Kinematically disturbed O I, Mg II, Na D, and [O III] features, together with extended Ly$α$ emission over $\gtrsim 20$ kpc, further show that multiphase gas is being accelerated from the nuclear region into the host-galaxy environment. The ALMA detection reveals strong dust emission, with the inferred infrared luminosity placing the system in the ULIRG regime. The continuum is red and sharply declining toward the rest-frame UV, resembling compact red AGNs, and may reflect extreme dust attenuation, gas reprocessing, possible BAL-like absorption, or a combination of these effects. Regardless of which mechanism dominates the continuum shape, the line diagnostics show that the visible nucleus remains partially obscured by nearby material. The Hatchling therefore represents a unique opportunity to explore a poorly known transition phase in which feedback is likely clearing an enshrouded quasar and allowing it to emerge toward a more unobscured active nucleus."
