arxiv_id,score,title,authors,published,updated,categories,matches,abstract_url,pdf_url,abstract
2607.20606,11,Outflows in the Early Universe: Neutral gas Absorption in Galaxies at z > 3 from low-resolution JWST Spectroscopy,Matteo Sapori; Sirio Belli; Letizia Bugiani; Amir H. Khoram; Caterina Liboni; Gabriel Maheson; Gabriel Brammer; Rebecca Davies; Pratika Dayal; Anna de Graaff; Joel Leja; Rohan Naidu; Pascal Oesch; Stefano Sotira; Sandro Tacchella; Bingjie Wang; Katherine E. Whitaker,2026-07-22T18:00:00+00:00,2026-07-22T18:00:00+00:00,astro-ph.GA,JWST; NIRSpec; galaxies; star formation; stellar mass; SED fitting; Dusty star-forming galaxies,https://arxiv.org/abs/2607.20606,https://arxiv.org/pdf/2607.20606v1,"Recent JWST/NIRSpec observations have shown that Na I D absorption tracing neutral gas outflows is widespread in massive galaxies at Cosmic Noon ($z\sim2$-$3$), but their prevalence at higher redshift remains largely unexplored. Here we investigate whether similar outflows are already in place during the first 2 Gyr of cosmic history ($z>3$), using a sample of 811 galaxies at $3<z<7$ from the public DAWN JWST Archive and the Mirage or Miracle survey, with secure spectroscopic redshifts and continuum SNR$>5$ in their JWST/NIRSpec PRISM low-resolution spectra ($R\sim100$). We derived physical properties and star formation histories via Prospector SED fitting and isolated the Na I D feature in each spectrum by subtracting the best-fit stellar continuum. We detect an excess of Na I D absorption in 20 galaxies, almost all at $3<z<5$ with stellar mass $>10^{10} M_\odot$, an overall detection fraction of $\sim2.5\%$. The detection fraction rises steeply with stellar mass and quiescence, reaching $\sim11\%$ among the most massive galaxies and $\sim43\%$ among massive quenched systems. The Na I D equivalent widths are large, spanning 4 to 16 Angstrom, and are highest in dusty star-forming galaxies. In previous medium-resolution observations, EWs above 5 Angstrom were mostly found in outflowing gas; we thus interpret our detections as mostly tracing neutral outflows, despite the lack of kinematic information at PRISM resolution. A stacking analysis confirms these trends and provides average Na I D EWs for different subsamples. Under conservative assumptions, we estimate mass outflow rates of 4 to 12 $M_\odot$ yr$^{-1}$, exceeding the current star formation rate for about 30% of the detected galaxies. We conclude that neutral outflows are likely already present and important in massive galaxies during the first 2 Gyr of cosmic history."
2607.20651,10,When galaxies burst II. Implications of enhanced burstiness for the 21-cm Cosmic Dawn signal,Hovav Lazare; Sarah Libanore; Eleonora Vanzan; Julian B. Muñoz; Ely D. Kovetz,2026-07-22T18:24:26+00:00,2026-07-22T18:24:26+00:00,astro-ph.CO; astro-ph.GA,JWST; galaxies; cosmic dawn; star formation,https://arxiv.org/abs/2607.20651,https://arxiv.org/pdf/2607.20651v1,"Recent JWST observations suggest that star formation in the early universe was substantially burstier than assumed in standard models. Such burstiness can be described as a stochastic process characterized by the burst amplitude and the coherence time of star formation epochs. In this paper, we investigate how bursty star formation modifies the 21-cm power spectrum during Cosmic Dawn through its impact on the non-local radiation fields that govern its evolution, namely Lyman-$α$ and X-ray backgrounds. To do so, we introduce an unequal-time correlation in the star-formation-rate density sourcing the two fields and we compute its impact using the analytical framework implemented in the public code Zeus21. We find that the burstiness-induced time correlation produces a shot-noise-like contribution in the Lyman-$α$ and X-ray fields, enhancing both their auto- and cross-power spectra while leaving the global 21-cm signal, $T_{21}(z)$, unchanged. As a result, the 21-cm power spectrum is strongly modified by a shot-noise-like contribution at the beginning of the Cosmic Dawn, where the signal is dominated by lower-mass halos ($M_h\lesssim10^{10}\,M_\odot$), and is boosted by a factor of a few near the Wouthuysen-Field absorption trough. Elsewhere at low redshift, where the clustering signal dominates and larger halos drive the signal, the burstiness component is negligible."
2607.21122,9,MIGHTEE: The Host-Galaxy Associated Catalogue of the Radio Sources in MIGHTEE Continuum Data Release 1,C. L. Hale; J. Hamlett; I. H. Whittam; M. J. Jarvis; M. J. Hardcastle; S. L. Jung; N. Stylianou; R. G. Varadaraj; M. Vaccari; L. Barchiesi; P. N. Best; K. K. L. Charlton; E. Malefahlo; E. Moravec; J. P. Moss; M. Rakototafika; T. F. Rarivoarinoro; F. Sinigaglia; M. N. Tudorache; S. I. Loubser; L. Heino; A. Saintonge; A. Mazumder; N. Netshiavha; D. J. B. Smith; L. Verdes-Montenegro; J. Delhaize; H. Pan; F. Pozzi; Z. Randriamanakoto; L. Stockenstroom; A. A. Vărăşteanu; E. Vardoulaki; W. L. Williams; R. A. A. Bowler; L. Marchetti; A. Matthews,2026-07-23T09:56:14+00:00,2026-07-23T09:56:14+00:00,astro-ph.GA,COSMOS; galaxy; galaxies; extragalactic; star formation; stellar mass; AGN,https://arxiv.org/abs/2607.21122,https://arxiv.org/pdf/2607.21122v1,"Radio continuum surveys provide samples of active galactic nuclei (AGN) and star forming galaxies (SFGs) to high redshifts, free of biases due to dust obscuration. However, radio detected sources require multi-wavelength counterparts to understand their intrinsic properties (e.g. redshift, stellar mass) and to study the evolution of star formation and AGN activity. In this work we present host galaxy counterparts for the MeerKAT International GHz Tiered Extragalactic Exploration (MIGHTEE) survey continuum Data Release 1 in regions with the best ancillary data (totalling 7.5 sq. deg). We combine statistical cross-matching and visual inspection to identify Ks-band selected host galaxies, and additionally combine multiple radio components into single physical objects, where needed. This results in a combined radio catalogue of ~66 000 sources, with host counterparts and redshifts identified for ~95 per cent of sources in the COSMOS field, ~91 per cent in XMM-LSS and ~90 per cent in CDFS-DEEP. This includes a significant fraction of sources with spectroscopic redshifts within the COSMOS field (~50 per cent), with ~30 and ~20 per cent in the XMM-LSS and CDFS-DEEP fields respectively. Using the cross-matched catalogue, we make an initial identification of radio-excess and star forming galaxies based on comparisons of the radio luminosities to host star formation rates. Using this split as a proxy for radio loud AGN or SFGs, we present expectations for the redshift distributions of these sources, finding broad agreement with those from deep radio luminosity functions and simulated catalogues."
2607.20617,5,A dust-free hierarchically nested supermassive-star model for James Webb Space Telescope Little Red Dots,Pau Amaro Seoane,2026-07-22T18:00:02+00:00,2026-07-22T18:00:02+00:00,astro-ph.SR; astro-ph.GA; astro-ph.HE,James Webb Space Telescope; high redshift,https://arxiv.org/abs/2607.20617,https://arxiv.org/pdf/2607.20617v1,"Observations by the James Webb Space Telescope reveal a population of high-redshift objects, the little red dots. These sources exhibit optical reddening alongside blue ultraviolet continua, host broad Balmer lines indicative of active black holes, and lack detectable x-ray emission. Their cosmic abundance at early epochs exceeds standard Eddington-limited growth timescales. Prevailing models invoke specific dust geometries to reconcile these traits. We propose a dust-free physical framework. We evaluate the concept that the dust-poor subset of little red dots represents the observational manifestation of hierarchically nested supermassive stars. A primary radiation-dominated envelope traps a nuclear star cluster. Plunging stars drive a magnetic dynamo that inflates the envelope. This produces the red optical continuum. Unobscured infalling stars yield the blue ultraviolet excess. Trapped stellar debris sediments to form a high-density secondary core within this Compton-thick host. This nested topology thermalizes x-rays and powers the broad hydrogen $α$ features. The central seed accretes at the global radiation limit of the host envelope. This kinetic bypass shortens the assembly timescale from hundreds of millions of years to tens of millions of years."
