arxiv_id,score,title,authors,published,updated,categories,matches,abstract_url,pdf_url,abstract
2608.19308,13,The THESAN-ZOOM project: clumpiness of high-redshift galaxies and its connection to bursty star formation,Zihao Wang; Xuejian Shen; Rahul Kannan; Ewald Puchwein; Aaron Smith; Josh Borrow; Enrico Garaldi; Laura Keating; Mark Vogelsberger; Oliver Zier; William McClymont; Sandro Tacchella; Fangzhou Jiang; Hui Li; Lars Hernquist,2026-08-19T18:00:00+00:00,2026-08-19T18:00:00+00:00,astro-ph.GA,JWST; galaxies; galaxy; high redshift; star formation; stellar mass,https://arxiv.org/abs/2608.19308,https://arxiv.org/pdf/2608.19308v1,"Recent JWST observations have revealed diverse high-redshift galaxy morphologies, including a population with irregular and clumpy structures. The physical origin of these structures, and the extent to which observational biases shape their appearance, remain uncertain. We present a power-spectrum-based method for quantifying galaxy clumpiness across spatial scales, using the radiation-hydrodynamic simulation suite THESAN-ZOOM, which employs a state-of-the-art galaxy formation model that resolves the multiphase interstellar medium (ISM). Although the total stellar mass distributions in THESAN-ZOOM galaxies are usually smooth, clumpy structures appear in the H$α$, far-ultraviolet (FUV), and optical light distributions. Tracers sensitive to shorter-timescale star formation exhibit more pronounced small-scale structure ($\sim10^{2}$--$10^{3}{\rm pc}$). The corresponding projected light spectra follow $P(k)\propto k^{-1}$ to $k^{-2}$, with progressively shallower slopes for tracers sensitive to more recent star formation, reflecting enhanced small-scale power and greater spatial intermittency in young stellar populations. This behaviour is consistent with a highly compressible, shock-dominated ISM in which stellar feedback and outflows reorganise dense gas into filamentary and clumpy structures. We also find that galaxy clumpiness depends on the treatment of stellar feedback. Weaker early stellar feedback enhances small-scale power in both the mass and light distributions. Clumpiness also varies strongly over the bursty star formation cycle, implying that observed samples may be biased towards galaxies caught in phases of elevated star formation. Galaxy clumpiness, therefore, could provide a complementary probe of the bursty star formation in the early Universe."
2608.19311,10,Low Ly$α$ Visibility in Galaxy Overdensities: Reionization Topology and Neutral-Fraction Ceilings from DIVER over $4.8<z<11$,Yongda Zhu; Xiaohui Fan; Laura C. Keating; George D. Becker; Eiichi Egami; Xiaojing Lin; Fengwu Sun; Christopher Cain; Marcia J. Rieke; Andrew J. Bunker; Sijia Cai; Francesco D'Eugenio; Jakob M. Helton; Xiangyu Jin; Mingyu Li; Zheng Ma; Roberto Maiolino; Pierluigi Rinaldi; Christopher N. A. Willmer; Yunjing Wu; Zihao Wu; Junyu Zhang,2026-08-19T18:00:00+00:00,2026-08-19T18:00:00+00:00,astro-ph.GA; astro-ph.CO,JWST; NIRCam; NIRSpec; galaxy; galaxies; reionization; H-alpha,https://arxiv.org/abs/2608.19311,https://arxiv.org/pdf/2608.19311v1,"Ly-alpha emission is widely used to trace cosmic reionization, but its interpretation depends on how Ly-alpha visibility varies with galaxy environment. We use deep JWST/NIRSpec observations from Deep Insights into UV Spectroscopy at the Epoch of Reionization (DIVER) in GOODS-N to measure Ly-alpha visibility for 250 galaxies at 4.8<z<11. The sample contains 84 Ly-alpha detections, including 44 strong emitters with rest-frame Ly-alpha equivalent width W_Lyalpha>25 A. We combine these measurements with H-alpha and [O III] emitters from JWST/NIRCam wide-field slitless spectroscopy to map the density field around each DIVER galaxy. Galaxies with high Ly-alpha equivalent widths (W_Lyalpha>25 A) or high effective Ly-alpha escape fractions (f_esc,Lyalpha^eff>0.05) tend to lie farther from nearby H-alpha and [O III] emitters than galaxies with lower Ly-alpha visibility. The clearest signal occurs near the prominent GOODS-N overdensity at z~5.2, where fewer than 15% of galaxies show strong Ly-alpha emission. This trend is opposite to the simplest inside-out reionization expectation that overdensities produce larger ionized regions and enhance Ly-alpha visibility. Possible explanations include circumgalactic and local intergalactic opacity, dense absorbers, and gas kinematics. We also derive an empirical upper envelope for f_esc,Lyalpha^eff and calibrate it with reionization simulations. Interpreting this envelope as a limiting IGM-attenuation signal gives neutral-fraction ceilings of <x_HI>_max=0.36, 0.76, 0.74, 0.84, and 1.0 at z~5.2, 5.8, 6.7, 7.7, and 9.8, respectively. The z~8 ceiling disfavors an almost completely neutral IGM at this epoch. These results support patchy reionization already underway by z~8 and show that galaxy Ly-alpha visibility encodes both large-scale ionization topology and near-source gas structure."
2608.19439,9,Tracing Lyman alpha escape in the CRISTAL-02 galaxy at z~5.3,Arshi Ali; Lucia Guaita; Manuel Aravena; Rebecca L. Davies; Jorge Gonzalez; Vicente Villanueva; Diego Oyarzun; Rodrigo Herrera-Camus; Ambra Nanni; Andreas Faisst; Anton M. Koekemoer; Deanne B. Fisher; Hanae Inami; Juan Molina; Justin Spilker; Lun-Jun Liu; Manuel Solimano; Michele Ginolfi; Michael Romano; Negin Nezhad; Poulomi Dam; Wuji Wang; Yuan Li,2026-08-19T20:46:24+00:00,2026-08-19T20:46:24+00:00,astro-ph.GA,JWST; NIRCam; NIRSpec; galaxy; star formation; AGN; emission line; dust attenuation,https://arxiv.org/abs/2608.19439,https://arxiv.org/pdf/2608.19439v1,"Aim. We investigate the mechanisms regulating Lyman-alpha (Ly-a) escape in the star-forming galaxy CRISTAL-02 at z~5.3. The galaxy hosts five distinct clumps, with Clumps A and B suggested as potential active galactic nuclei (AGN) candidates. We study how AGN or star formation activity influences the spatial distribution and escape of Ly-a emission. Methods. Using VLT/MUSE Ly-a and JWST/NIRSpec IFU H-a and H-b observations, complemented by NIRCam UV imaging, we constructed spatially matched emission-line maps. We derived flux, line-ratio, and extinction maps, together with spatially resolved Ly-a escape fractions and ionizing photon production efficiencies. Results. Ly-a emission extends preferentially along the [C ii] outflow direction, while H-a and UV trace the galactic disk. Clumps A and B show contrasting properties: Clump A, with lower dust attenuation, exhibits enhanced Ly-a/H-a ratios and a higher Ly-a escape fraction, whereas Clump B shows stronger H-a and UV emission but suppressed Ly-a. These results suggest that Ly-a escape is influenced by outflows, dust attenuation, and local gas conditions. Conclusions. We present spatially resolved measurements of the Ly-a escape fraction and ionizing photon production efficiency in a galaxy at z~5.3, highlighting the role of feedback-driven gas clearing and anisotropic outflows in shaping Ly-a emission. The evidence favors an outflow, but the available data cannot uniquely distinguish between AGN- and star formation-driven feedback. Future spatially resolved Ly-a, H-a, and [C ii] observations will be crucial for identifying the dominant feedback mechanism."
2608.20288,8,Transient Early Dark Energy-Like Dynamics as a Mechanism for Enhanced Early Structure Formation in the JWST Era,Abhik Bhattacharjee; Amlan Chakraborty; Subinoy Das; Anshuman Maharana; Priyank Parashari,2026-08-20T17:23:01+00:00,2026-08-20T17:23:01+00:00,astro-ph.CO,JWST; James Webb Space Telescope; galaxies; high redshift; star formation,https://arxiv.org/abs/2608.20288,https://arxiv.org/pdf/2608.20288v1,"The discovery of massive galaxies at redshifts $z\gtrsim10$ by the James Webb Space Telescope (JWST) has renewed interest in cosmological mechanisms capable of enhancing early structure formation while preserving the successful large-scale predictions of the standard $Λ$CDM model. We investigate a phenomenological scenario in which an exotic dark matter species can undergo a transient early dark energy-like phase during the radiation-dominated era ($10^{-7}\lesssim a\lesssim10^{-5}$) before reverting to pressureless cold dark matter. We utilize the generalized dark matter framework to model this species, which is restricted to a sub-percent fraction of the total dark matter component by CMB, BAO and Type Ia supernova data. Its background and perturbation dynamics are characterized by a time-dependent equation of state, $w(a)$, and a time- as well as scale-dependent sound speed, $c_s^2(a,k)$. The temporary negative equation of state, combined with our phenomenological pressure-response prescription, induces a finite interval of negative effective sound speed squared. This triggers an instability-driven growth of density perturbations over a limited range of comoving scales, thereby enhancing the formation of early dark matter halos. We find that the enhanced halo abundance can substantially reduce the star-formation efficiencies required to reproduce the observed abundance of JWST galaxies relative to the standard $Λ$CDM scenario, especially at higher redshifts. Our results demonstrate that transient early dark energy-like dynamics in a subdominant dark matter component provide a viable mechanism for enhancing early structure formation and offer a new framework for interpreting the abundance of high-redshift galaxies observed by JWST and future surveys."
2608.19687,8,OutThere Survey: Addressing $\mathrm{ξ_{ion}}$ and $\mathrm{f_{esc}}$ with a population of average galaxies at z$\sim$2,Ravi Jaiswar; Anshu Gupta; Elisabete da Cunha; Cathryn M. Trott; Andrew Battisti; Isabel Perez; Karl Glazebrook; Lalitwadee Kawinwanichakij; Zackary L. Hutchens; Ivelina Momcheva; Claudia Del. P Lagos; Themiya Nanayakkara; Colin Jacobs; Danilo Marchesini; David A. Wake; Alice Shapley; Gabriel Brammer; Raphael Hviding; Casey Papovich; Ryan L. Sanders; Rhea-Silvia Remus; Mengtao Tang; Daniel Stark; Vincente Estrada-Carpenter; Joshua Speagle; Kartheik Iyer; Jasleen Matharu,2026-08-20T06:24:13+00:00,2026-08-20T06:24:13+00:00,astro-ph.GA,JWST; NIRCam; galaxies; galaxy; high redshift; stellar mass,https://arxiv.org/abs/2608.19687,https://arxiv.org/pdf/2608.19687v1,"Constraining the major contributors to the ionisation of the early universe is an ongoing endeavour of high-redshift galaxy research. We measure the ionising photon production efficiency and Lyman Continuum escape fraction for a sample of 230 intermediate redshift ($1.3<z<2.6$) sources observed as a part of the \textit{OutThere survey}; a pure-parallel, wide-area JWST/NIRISS survey with accompanying JWST/NIRCam, NIRISS and HST photometry. The low threshold emission selection criteria for this sample makes for a large and robust control, against which other works may be contrasted, particularly for low-mass galaxies above z$>$5. This control sample allows us to verify the correlations between ionising and spectral/physical properties suggested by previous studies. We find no significant correlations between the ionising photon production efficiency ($\mathrm{ξ_{ion}}$) with the UV slope, $\mathrm{M_{UV}}$, M$_*$ or sSFR. We do find that $\mathrm{ξ_{ion}}$ correlates with [OIII]5007Å\, equivalent width (EW) (Spearman coefficient $ρ$ =0.24; p$< 4\times10^{-4}$) and H$α$ EW ($ρ$ =0.63; p$<< 1\times10^{-6}$) hold even at low EW albeit with more scatter. We also find that our novel approach to determining the ionising photon escape fraction $\mathrm{f_{esc}}$ results in values within theoretical ranges (0-10\%) though vary substantially in comparison to the empirical results (median $\mathrm{f_{esc}} = 0.9\%^{+1.1}_{-0.5}$ including non-detections, median $\mathrm{f_{esc}} = 1.9\%^{+8.9}_{-1.8}$ above a $0.01\%$ threshold). We find that this escape fraction method has consistently significant correlations with the redshift, SFR and M$_{UV}$ and sample-dependent correlations with [OIII]5007Å\,EW,H$α$ EW and stellar mass."
2608.20339,7,An Optical Illusion: High Electron Densities Create Extremely Metal-Poor Galaxy Impostors,Tiger Yu-Yang Hsiao; Danielle A. Berg; Steven L. Finkelstein; Ansh R. Gupta; Zorayda Martinez; Anthony J. Taylor; Hollis B. Akins; Oscar A. Chavez Ortiz; John Chisholm; Lukas J. Furtak; Vasily Kokorev,2026-08-20T17:59:58+00:00,2026-08-20T17:59:58+00:00,astro-ph.GA,JWST; NIRSpec; galaxy; galaxies; metallicity,https://arxiv.org/abs/2608.20339,https://arxiv.org/pdf/2608.20339v1,"JWST has enabled the discovery of dozens of extremely metal-poor galaxies (EMPGs) with metallicities below $5\%\,Z_{\odot}$, representing a significant leap toward detecting the first galaxies without metals. However, accurate metallicity measurements require careful determination of physical conditions in the ionized gas. In this paper, we study four galaxies that appear to be EMPGs when analyzed using the direct $T_e$ method with the common low-density assumption ($n_e=10^3\,{\rm cm}^{-3}$). To test whether their metal-poor status holds when accurately measuring the density, we apply the direct method with a self-consistent determination of electron temperature ($T_e$) and density ($n_e$) in the high-ionization zone using the [OIII]$λ$5008, [OIII]$λ$4364, and [OIII]$λ$1666 lines, using JWST/NIRSpec data from the SPURS program in the Abell 2744 lensed field. We find that three out of four galaxies in our sample have extremely high electron densities ($n_e \sim 10^{5}-10^{6}\,{\rm cm^{-3}}$), which suppress the [OIII]$λ$5008 line and lead to underestimates of metallicity by up to $\sim1.1\,$dex when this density is not accounted for, and have true metallicities of 12+log(O/H) $\sim7.3-8.2$. Failure to account for high densities can therefore lead to systematic misclassification of metal-poor galaxies and biased conclusions about early chemical enrichment."
2608.19756,5,Asymmetric Aerosol Distribution on the Terminators of the Warm Saturn WASP-69 b Revealed by JWST NIRISS/SOSS,Le-Chris Wang; Sagnick Mukherjee; Stephen P. Schmidt; Kevin B. Stevenson; Mei Ting Mak; Patrick McCreery; Harry Baskett; Carlos Gascón; David K. Sing; Katharine A. Bennett; Duncan A. Christie; Guangwei Fu; Mercedes López-Morales; Joshua D. Lothringer; Nathan J. Mayne; Lakeisha M. Ramos Rosado; Zafar Rustamkulov; Kevin C. Schlaufman; Kristin S. Sotzen,2026-08-20T08:01:26+00:00,2026-08-20T08:01:26+00:00,astro-ph.EP,JWST; metallicity,https://arxiv.org/abs/2608.19756,https://arxiv.org/pdf/2608.19756v1,"How aerosols form, are transported, and cycle between condensation and evaporation across exoplanet temperature regimes remains poorly understood. Recent models and observations suggest that warm giant planets near $800$--$1000$ K may span a transition between homogeneous and longitudinally heterogeneous aerosol distributions. We present a robust detection of aerosol asymmetry in a giant planet with $T_{\rm eq}\lesssim1000$ K, using the $0.86$--$2.82~μ$m JWST NIRISS/SOSS transmission spectrum of WASP-69 b. The evening limb shows prominent 1.4 $μ$m H$_2$O absorption ($Δ\mathrm{BIC}_{\rm H_2O}=+22.7$), whereas H$_2$O is not detected on the morning limb ($Δ\mathrm{BIC}_{\rm H_2O}=-8.7$). Atmospheric retrievals reveal significant aerosol opacity on both limbs, with high-altitude, optically thick clouds muting molecular features on the morning limb and lower cloud opacity allowing H$_2$O to emerge on the evening limb. The evening terminator is hotter by $304^{+62}_{-91}$ K, consistent with morning-limb condensates partially evaporating during transport toward the evening limb. This mechanism is independently verified with 3D general circulation models. Stellar contamination or aerosols dominated by photochemical haze do not readily explain the asymmetry. From a limb-resolved analysis, we infer a stellar-to-superstellar atmospheric metallicity, with $\rm[M/H]=0.11^{+0.40}_{-0.46}$ from the equilibrium retrieval and [O/H]$=1.38^{+0.44}_{-0.79}$ from the free retrieval. We also detect an escaping metastable-helium tail extending to $3.08^{+0.50}_{-0.45}\,R_p$. WASP-69 b anchors the cooler edge of the emerging population of planets with asymmetric aerosol distributions and suggests that substantial aerosol opacity may persist on both limbs across this transition."
