arxiv_id,score,title,authors,published,updated,categories,matches,abstract_url,pdf_url,abstract
2608.08006,10,JWST Reveals a Galaxy-Wide Association of Red Supergiants with OB Stars in NGC 5584,Min Dai; Shu Wang; Biwei Jiang,2026-08-08T08:39:45+00:00,2026-08-08T08:39:45+00:00,astro-ph.SR; astro-ph.GA,JWST; NIRCam; galaxy; star formation; morphology,https://arxiv.org/abs/2608.08006,https://arxiv.org/pdf/2608.08006v1,"The spatial relationship between young and evolved massive-star tracers offers a means of probing recent star formation across galactic disks. We combine JWST/NIRCam, $Swift$/UVOT UVW2, and GALEX FUV/NUV images to investigate the spatial association between red-supergiant (RSG) candidates and UV-selected star-forming complexes (SFCs) in the spiral galaxy NGC 5584. We identify 5,310 RSG candidates using colour--magnitude criteria and define 106 UV-selected SFCs from the UVOT/UVW2 morphology, with their FUV and NUV luminosities measured independently using the GALEX images. We find that 82% of the UV-selected SFCs overlap significant RSG overdensities, indicating a galaxy-wide statistical association between UV-bright SFCs and the evolved massive-star population. Among the 93 SFCs with reliable JWST coverage, the UV-$β$-corrected FUV and NUV luminosities correlate tightly with the JWST/NIRCam luminosities, with Pearson correlation coefficients of $r=0.962$--$0.971$. MIST isochrone comparisons for 43 RSG-rich SFCs indicate a characteristic age of $\log(\mathrm{age/yr})\simeq 7.16$. These results show that RSG overdensities and UV-selected SFCs trace related but distinct phases of recent massive-star formation. Their spatial correspondence is statistical rather than one-to-one and likely reflects differences in stellar age, dust extinction, spatial resolution, aperture coverage, and local star-formation history."
2608.09813,9,An emerging baryon cycle in a galaxy 500 million years after the Big Bang,Shengzhe Wang; Xin Wang; Hang Zhou; Zhijie Qu; Zhaozhou Li; Yuxuan Pang; Qianqiao Zhou; Shouyi Wang; Yangyao Chen; Yuguang Chen; Karl Glazebrook; Glenn G. Kacprzak; Nicha Leethochawalit; Houjun Mo; Themiya Nanayakkara; Huiyuan Wang; Weida Hu; Xunda Sun; Chao-Wei Tsai; Hu Zhan,2026-08-10T16:33:10+00:00,2026-08-10T16:33:10+00:00,astro-ph.GA,JWST; galaxy; galaxies; high redshift; reionization; star formation; stellar mass,https://arxiv.org/abs/2608.09813,https://arxiv.org/pdf/2608.09813v1,"The emergence of stellar feedback as a regulator of galaxy growth marks a fundamental transition in cosmic history. At early times, rapid gas accretion and collapse may induce intense star formation before feedback becomes effective, producing feedback-free starbursts. When and how such bursts subsequently develop into self-regulated baryon cycles remain observationally unknown. Here we show that Gz9p3, a merging galaxy at $z=9.311$, is caught in this transition only 500 million years after the Big Bang. Deep JWST spectroscopy reveals a substantial neutral-gas reservoir along its merger-driven tidal structure and a multiphase outflow. Fine-structure absorption provides the first direct measurement of the electron density of the cool outflowing gas at high redshift ($\approx\,17\,{\rm cm^{-3}}$), yielding a mass-loading factor among the highest yet measured for galaxies of comparable stellar mass. The emergence of such efficient feedback after an intense burst is consistent with the delayed onset of feedback expected in feedback-free starburst models. The cool outflowing gas is unlikely to escape the host halo, implying that much of this metal-enriched material may remain available for future recycling through the circumgalactic medium. Gz9p3 therefore provides an early view of a baryon cycle being established through the interplay of merger-driven gas redistribution, bursty star formation and stellar feedback, suggesting that feedback-regulated recycling was already shaping galaxy growth during the epoch of reionization."
2608.08203,9,A New Window on the Hα Luminosity Function and Star Formation Rate Density from 1.2 < z < 6.6 from JWST Medium-Band Photometry,Nicholas S. Martis; Chris Willott; Gregor Rihtaršič; Vesna Pirc Jevšenak; Roberto Abraham; Yoshihisa Asada; Maruša Bradač; Gabriel Brammer; Guillaume Desprez; Vicente Estrada-Carpenter; Kartheik Iyer; Lamiya Mowla; Adam Muzzin; Gaël Noirot; Ghassan T. E. Sarrouh; Marcin Sawicki; Sunna Withers; Giordano Felicioni; Jon Judež; Danilo Marchesini; Vladan Markov; Katherine Myers; Luke Robbins; Visal Sok; Wren Suess; Roberta Tripodi,2026-08-08T16:00:35+00:00,2026-08-08T16:00:35+00:00,astro-ph.GA,JWST; James Webb Space Telescope; NIRCam; star formation; reionization; emission line; spectral energy distribution; dust attenuation,https://arxiv.org/abs/2608.08203,https://arxiv.org/pdf/2608.08203v1,"We present the first self-consistent measurement of the Hα luminosity function over a wide redshift range, covering cosmic noon into the epoch of reionization. Our analysis utilizes a novel method based on James Webb Space Telescope (JWST) NIRCam medium-band imaging. We combine data from the CANUCS, JWST in Technicolor, and JUMPS surveys which offer deep, uniform imaging (29.5-30 AB, 3σ) with extensive NIRCam medium-band coverage, reaching up to 29 total filters (up to 20 JWST) when including ancillary Hubble Space Telescope (HST) ACS and WFC3/UVIS data. The superb spectral energy distribution (SED) sampling enables precise, reliable photometric redshift estimation (outlier fraction 1.7\%, σ N_MAD = 0.039 for this sample) as well as accurate continuum subtraction and line flux measurement verified by spectroscopic follow-up (no systematic offset, 0.23 dex scatter). We measure the Hα luminosity function (LF) from 1.25 < z < 6.6 by tracing the Hα emission line in 11 medium-band filters. The combination of depth, redshift coverage, and statistical power is unique, providing strong constraints on the shape of the LF over almost three orders of magnitude in luminosity. Our dense SED sampling enables us to reliably correct for dust attenuation and derive dust-corrected star formation rate functions as well as the evolution of the cosmic star formation rate density over the full redshift range. We recover the peak at z ~ 2 and a decrease toward z = 6, though with a higher normalization more in line with recent IR measurements than UV, though eclipsing both. This potential tension will be addressed in future work utilizing larger surveys with MIR coverage to better constrain the bright end of the luminosity function and the effects of dust."
2608.07668,9,First Light and Assembly of GalaxieS (FLAGS) I: The JWST/NIRCam Number Counts and IGL as Constraints on Galaxy Formation Models,Jack C. Turner; Stephen M. Wilkins; Aswin P. Vijayan,2026-08-07T18:00:13+00:00,2026-08-07T18:00:13+00:00,astro-ph.GA,JWST; NIRCam; galaxy; galaxies; SED fitting,https://arxiv.org/abs/2608.07668,https://arxiv.org/pdf/2608.07668v1,"JWST observations have been used in conjunction with SED fitting to infer the physical properties of galaxies throughout cosmic time, revealing tensions with the predictions of theoretical models. However, the biases associated with this process are poorly understood, which limits its true constraining power. We introduce the First Light and Assembly of GalaxieS (FLAGS) series, which will leverage forward modelling to confront models with more reliable direct observables. We describe the consistent processing of NIRCam imaging spanning $>1 \ \mathrm{deg}^{\, 2}$ across 30 independent fields, which can be used to measure the galaxy number counts from $0.9-4.4 \ μ\mathrm{m}$. The integrated galaxy light (IGL) is constrained with a certainty of $\sim2.5\%$ at the longest wavelengths, producing novel constraints of $6.92^{\, +0.17}_{\, -0.17}$ and $3.46^{\, +0.09}_{\, -0.08} \ \mathrm{nW\,m^{-2}\,sr^{-1}}$ at $2.77$ and $4.10 \ \mathrm{μm}$ respectively. We compare these measurements with predictions from galaxy evolution models and find that the IGL is an unreliable measure of model performance. Comparing against the number counts directly reveals SC-SAM as the best-performing model ($χ^{2}_ν=18.6$), with its superior performance relative to SAGE attributed to efficient SNe feedback in low-mass halos. We investigate the impact of systematic photometry and forward modelling uncertainties, confirming that the number counts can be a reliable means of evaluating model predictions and performing simulation-based astrophysical parameter inference in the future."
2608.08369,8,GATOS: Distinct Feedback Modes in AGN Central Regions Revealed by Spatially Resolved JWST Spectroscopy,Lulu Zhang; Chris Packham; Erin K. S. Hicks; Ismael García-Bernete; Almudena Alonso-Herrero; Ric I. Davies; Martin J. Ward; Daniel E. Delaney; Takuma Izumi; Dimitra Rigopoulou; Cristina Ramos Almeida; Omaira González-Martín; Rogemar A. Riffel; Claudio Ricci; Montserrat Villar-Martín; Francoise Combes; Miguel Pereira-Santaella; Sebastian F. Hoenig; Andrew J. Bunker; Peter G. Boorman; Enrica Bellocchi; Nancy A. Levenson; Santiago García-Burillo; Fergus R. Donnan; Anelise Audibert; Lindsay Fuller; Tanio Díaz-Santos; David J. Rosario,2026-08-08T23:41:56+00:00,2026-08-08T23:41:56+00:00,astro-ph.GA,JWST; MIRI; AGN; star formation,https://arxiv.org/abs/2608.08369,https://arxiv.org/pdf/2608.08369v1,"This manuscript presents JWST MIRI/MRS observations of the central $r \approx 40-240$ pc regions of five active galactic nuclei (AGN) spanning a wide range of luminosities (${\rm log}\,L_{\rm bol}/{\rm erg\,s^{-1}} \approx 39.8-43.8$). Combining multiphase diagnostics from polycyclic aromatic hydrocarbons (PAHs), molecular hydrogen (H$_2$), and ionized gas at spatial scales of $\sim 4-24$ pc, this study presents a spatially resolved investigation into the effects of the two distinct AGN feedback modes--radiative and kinetic--on the surrounding medium. The results indicate that these two feedback modes, associated with AGN irradiation and shock processing, respectively, collectively drive the relative suppression of PAH emission in the nuclear regions of the targets studied here. Moreover, the coexistence of these two AGN feedback modes, especially the shock processing associated with either jets or outflows, in the central regions of AGN naturally explains both the bimodal distribution of PAH band ratios observed in the targets studied here and the seemingly disparate results reported in the literature. Although based on a limited sample, these findings provide new insights into calibrating star-formation rates (SFRs) from PAH emission in AGN, and more importantly, lay the groundwork for a practical framework to diagnose and quantify AGN feedback in the JWST era."
2608.09920,7,IPA: Morphology and Kinematics of Molecular Hydrogen Winds in Five Young Protostars across the Mass Spectrum Observed with JWST,Himanshu Tyagi; P. Manoj; Mayank Narang; S. Thomas Megeath; Robert Gutermuth; Lee Hartmann; Alessio Caratti o Garatti; Dan M. Watson; David A. Neufeld; Ewine F. Van Dishoeck; Neal J. Evans; Vinod Chandra Pathak; Samuel A. Federman; Tyler L. Bourke; Yao-Lun Yang; Guillem Anglada; Henrik Beuther; Leslie W. Looney; Rolf Kuiper; Pamela Klaassen; Pooneh Nazari; Bihan Banerjee; Joel Green; Sujay Vijay Jadhav; Mayra Osorio; B. Shridharan; Amelia M. Stutz; Thomas Stanke; John J. Tobin; Lukasz Tychoniec; Scott Wolk; Manya Arora,2026-08-10T17:57:48+00:00,2026-08-10T17:57:48+00:00,astro-ph.SR; astro-ph.EP; astro-ph.GA,JWST; NIRSpec; MIRI; morphology,https://arxiv.org/abs/2608.09920,https://arxiv.org/pdf/2608.09920v1,"Molecular winds may play a key role in governing angular momentum transport and accretion during the early evolution of protostars. We present the morphology and kinematic properties of the H$_2$ emission in five young, envelope-dominated, protostars across a broad bolometric luminosity range, from 0.2 to $10^4~L_{\odot}$, observed with the NIRSpec/IFU and MIRI/MRS onboard JWST as part of the Investigating Protostellar Accretion (IPA) program. A rich set of pure rotational lines of H$_2$, up to $v=0-0$ S(18), and a few ro-vibrational lines are detected in the winds, revealing bipolar structures. The H$_2$ lines show a stratified/onion-like structure morphologically and kinematically, where the lines with higher $E_{\rm up}$ show a higher degree of collimation and higher velocities. Additionally, the wind velocity scales with the $L_{\rm bol}$ of the host protostellar system. In 4 out of 5 protostars, H$_2$ emission fills the outflow cavity without showing pronounced limb brightening. We also report a tentative detection of H$_2$ wind rotation in IRAS 16253, which suggests a launch radius of $\sim4$ au and the magnetic lever arm parameter of $\sim5-10$. Taken together, these properties of the H$_2$ winds can be explained by the magnetohydrodynamic disk wind models. We detect a collimated, high-velocity H$_2$ jet toward HOPS 370, which is more evolved than the extremely young source HH 211, but is accreting at a high accretion rate. This suggests that the presence of collimated molecular jets in protostars is more closely connected to accretion rate than system age."
2608.09511,6,Dust production in the harsh environment of Sgr A* - MIRI/JWST observation of the O-rich asymptotic giant branch star IRS~3,F. Peißker; M. García Marín; A. Eckart; G. Wright; O. C. Jones; D. Dicken; A. Alonso Herrero; D. Rouan; D. Law; T. Böker; T. Henning; M. Baes; A. Labiano; L. Pantoni; L. Hermosa Muñoz; P. O. Lagage; P. van der Werf; G. Östlin; J. A. D. L. Blommaert; M. Güdel; P. Guillard,2026-08-10T12:13:53+00:00,2026-08-10T12:13:53+00:00,astro-ph.GA; astro-ph.SR,JWST; MIRI; James Webb Space Telescope; galaxy,https://arxiv.org/abs/2608.09511,https://arxiv.org/pdf/2608.09511v1,"Studies of the interstellar medium (ISM) have frequently revealed signatures of the dust produced in the envelopes of asymptotic giant branch (AGB) stars, demonstrating a connection between the dust composition of the ISM and that of AGB stellar envelopes. Investigating this relationship in the extreme, radiation-dominated environment surrounding Sgr A*, the center of our own galaxy, reveals how such conditions might influence dust composition and the recycling of material in galactic centers. IRS 3, the brightest L band source in the Galactic center and most prominent AGB star within the inner parsec of the Milky Way, is embedded in a dusty envelope with an estimated radius of $\sim$10000 AU. We aim to conduct a comprehensive spectral analysis to more tightly constrain the dust composition and line-emitting species within the envelope of IRS 3 in the immediate vicinity of Sgr A*. In 2025, we observed the inner parsec of the Milky Way with the Mid-Infrared Instrument (MIRI) on board the James Webb Space Telescope (JWST) as part of the guaranteed time observations (GTO) program Mid-Infrared Characterisation of Nearby Iconic galaxy Centres (MICONIC). We used the MIRI Medium Resolution Spectrometer (MRS) to study the spectroscopic characteristics of the AGB star IRS 3, located about 0.17 parsecs in projection from Sgr A*."
2608.07732,5,Mapping gas accretion and stellar kinematics to sub-kiloparsec scales in NGC 4696 with JWST/NIRSpec,Mathieu Marquis; Julie Hlavacek-Larrondo; Olivia Pereira; Michael Reefe; Hyunseop Choi; Jorge Barrera-Ballesteros; Benjamin Vigneron; Ming Sun; Rebecca E. A. Canning; Gregory Taylor; Loïc Albert; Francesco D'Eugenio; Megan Donahue; Andrew C. Fabian; Gary J. Ferland; John S. Gallagher; Marie-Lou Gendron-Marsolais; Pierre Guillard; Minghao Guo; Nina Hatch; Ralf Kotulla; Yuan Li; Roberto Maiolino; Allison Man; Michael A. McDonald; Brian R. McNamara; Valeria Olivares; Marine Prunier; Christopher S. Reynolds; Carter Rhea; Annabelle Richard-Laferrière; Helen R. Russell; Philippe Salomé; Prathamesh Tamhane; Auriane Thilloy; Grant R. Tremblay; G. Mark Voit; Stephen A. Walker,2026-08-07T19:53:27+00:00,2026-08-07T19:53:27+00:00,astro-ph.GA; astro-ph.HE,JWST; NIRSpec; AGN,https://arxiv.org/abs/2608.07732,https://arxiv.org/pdf/2608.07732v1,"We present JWST/NIRSpec IFU spectroscopy of the central $618\times618$ pc$^2$ ($\sim3''\times3''$) of NGC 4696, the BCG in the Centaurus cluster. Leveraging the $\sim0.1''$ ($20.6$ pc) pixel size of JWST, we resolve a compact circumnuclear rotating disk (radius of $\sim120$ pc) traced by Pa$α$ and H$_2$ 1$-$0 S(1) emission, which allows a reassessment of the AGN position based on the kinematic centre of this disk. A central Pa$α$ velocity dispersion reaching $σ\sim449$ km s$^{-1}$ implies a SMBH mass of $\sim10^9$ M$_\odot$, corresponding to a sphere of influence of $r_\mathrm{inf}\sim60$ pc, resolved by our observations. Position-velocity diagrams reveal an increase from $\sim-200$ to $\sim600$ km s$^{-1}$ on scales of $\sim150$ pc (a gradient of $4.7$ km s$^{-1}$ pc$^{-1}$) and an accretion rate of $\sim18$ M$_\odot$ yr$^{-1}$ feeding the CND. The Pa$α$ emission shows a double-component in the core, with a high-dispersion redshifted component reaching $σ\sim600$ km s$^{-1}$. In contrast, MUSE H$α$ observations covering the $\sim10$ kpc-scale filamentary structure recover only weak velocity gradients ($\lesssim150$ km s$^{-1}$) within $\sim300\times300$ pc$^2$ and do not resolve the disk due to larger PSFs and pixel sizes. ALMA CO(2-1) data reveal only compact molecular clumps within a $\sim410\times410$ pc$^2$ region, with no extended counterpart to the structures traced by Pa$α$ and H$_2$ 1$-$0 S(1). Stellar kinematics show a smooth velocity field and broad dispersion profile, clearly decoupled from both the multiphase gas and the hot ICM probed by XRISM. These results provide a direct, spatially resolved view of gas dynamics within the inner few hundred parsecs, demonstrating the power of JWST/NIRSpec to probe SMBH feeding."
